session_id,average_time_to_response_ms,average_recording_time_ms,game_length_sec,num_utterances,num_fallback,num_fulfillment_success,num_fulfillment_fail,played_chess_before,chess_familiarity_score,chess_fun_score,sus
fd73d803,1176.2360999999999,6900.38025,340.167193,20,7,12,8,True,6,4,0.0
03e3a10b,0,0,0,0,0,0,0,True,6,3,42.5
fd9e4349,922.2632631578948,6358.078157894738,33.056181,19,5,12,7,True,6,3,52.5
24e731ab,1498.9601428571427,6217.505642857142,45.506084,14,2,11,3,True,6,3,80.0
ee20170d,955.6033888888887,5859.078611111112,62.158785,18,4,11,7,True,6,3,22.5
5772acbc,944.6861499999999,5167.897349999999,123.565632,20,9,9,11,True,6,3,42.5
66e3f6ca,1032.540705882353,4076.2407058823524,20.15247,17,3,12,5,True,7,4,25.0
576c13ef,996.8909499999997,6520.648249999998,0.0,20,11,9,11,False,2,5,32.5
239ca3c,0,0,0,0,0,0,0,True,7,3,37.5
b510ca92,1563.7400499999999,4205.115300000002,429.568793,40,17,9,31,True,8,3,20.0
f0251afb,1346.9527142857144,2993.316928571428,48.759253,14,8,6,8,True,5,2,30.0
6115d003,1095.1376153846154,8024.893153846152,101.047772,13,5,8,5,True,6,4,7.5
103c1146,1320.8314999999998,5893.952566666668,230.410027,30,15,15,15,True,8,5,27.5
